Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
TVS,Scooty Zest,109.0,90.0,48.0,,,74476.0,76239.0
Ola Electric,S1 Air,,90.0,,,,89999.0,89999.0
BMW,M 1000 RR,999.0,314.0,15.38,,,4900000.0,5500000.0
Honda,CB300R,286.0,160.0,30.0,4.0,1,240000.0,240000.0
Honda,CBR650R,649.0,240.0,25.0,5.0,1,1040000.0,1040000.0
Yulu,Wynn,,24.9,,4.5,4,55555.0,55555.0
Triumph,Scrambler 400 X,398.15,160.0,28.3,4.0,2,266000.0,266000.0
PURE EV,Epluto 7G Max,,60.0,,,,114999.99999999999,114999.99999999999
Harley-Davidson,Fat Boy 114,1868.0,177.0,18.1,,,2569000.0,2569000.0
Aprilia,SR 160,160.0,90.0,35.0,,,132000.0,141000.0
Honda,Gold Wing,1833.0,230.0,14.0,,,3920000.0000000005,3990000.0
Keeway,V302C,298.0,155.0,37.03,5.0,1,429000.0,429000.0
Aprilia,SR 125,124.0,90.0,40.0,,,123000.0,123000.0
Bounce Infinity,E1,,65.0,,,,59000.0,126000.0
Keeway,SR125,125.0,100.0,50.0,4.0,1,120000.0,120000.0
Honda,CB650R,649.0,225.0,20.4,3.0,1,960000.0,960000.0
Triumph,Street Triple,765.0,220.0,19.2,,,1017000.0,1207000.0
Zontes,350R,348.0,150.0,40.0,,,279000.0,279000.0
Okinawa,PraisePro,,56.0,,4.5,2,84443.0,84443.0
Ather Energy,450S,,90.0,,,,122000.0,136000.0
Benelli,TRK 502,500.0,160.0,30.16,,,620000.0,685000.0
Kawasaki,Vulcan S,649.0,186.0,20.58,,,710000.0,710000.0
Kawasaki,W175,177.0,110.0,45.0,5.0,1,122000.0,135000.0
Triumph,Tiger 900,888.0,202.0,21.2,,,1395000.0,1595000.0
Okinawa,R30,,25.0,,4.8,4,61998.0,61998.0
Amo Mobility,Jaunty-3W,,25.0,,4.0,1,81669.0,81669.0
Hero Electric,Flash,,25.0,,,,59640.0,59640.0
Triumph,Rocket 3,2458.0,220.0,15.15,,,2199000.0,2259000.0
Ducati,Monster,937.0,200.0,18.9,,,1295000.0,1595000.0
Keeway,SR 250,223.0,120.0,40.0,5.0,1,149000.0,149000.0
PURE EV,Epluto 7G,,68.0,,,,77999.0,92999.0
BattRE Electric Mobility,LoEV,,25.0,,,,59900.0,103000.0
Moto Morini,X-Cape,649.0,175.0,23.92,,,599000.0,649000.0
Suzuki,Gixxer SF 250,250.0,150.0,38.0,4.5,2,206999.99999999997,208000.0
Honda,CRF1100L Africa Twin,1082.96,202.0,20.0,,,1596000.0,1750000.0
Zontes,GK350,348.0,140.0,31.25,,,337000.0,347000.0
Ducati,Streetfighter V4,1103.0,299.0,13.2,5.0,2,2462000.0,2800000.0
Aprilia,SXR 160,160.0,93.0,35.0,,,144000.0,144000.0
Odysse Electric,Evoqis,,80.0,,,,118000.0,171000.0
Yezdi Motorcycles,Scrambler,334.0,140.0,32.04,4.0,1,210000.0,216000.0
Avon,E Scoot,,24.0,,4.0,1,98190.0,98190.0
Okinawa,iPraise+,,58.0,,,,123000.0,123000.0
BMW,R 18 Transcontinental,1802.0,180.0,17.24,,,3250000.0,3250000.0
Ducati,Panigale V2,955.0,299.0,16.6,,,2098000.0,2412000.0
Indian,Challenger,1768.0,125.0,18.0,,,3697000.0,3999000.0
